"name";"admin_title";"admin_level_id";"total_afterchoolprograms";"total_airports";"total_athleticfacilities";"total_basketballcourts";"total_bathrooms";"total_beaches";"total_biketracks";"total_basketballcourts";"total_busstops";"total_citybenchs";"total_clinics";"total_coolroofs";"total_cricketfields";"total_cultureplaces";"total_dancevenues";"total_highereducationinstitutions";"total_elementaryschools";"total_farmersmarkets";"total_filminglocations";"total_firestations";"total_galleries";"total_gardens";"total_golfcourses";"total_handballcourts";"total_hickingtracks";"total_highschools";"total_horsebackcentres";"total_hurricaneevacuationcentres";"total_iceskating";"total_kayaking";"total_laundry";"total_libraries";"total_medicaidoffices";"total_middleschools";"total_modelaircraftfields";"total_museums";"total_parking";"total_parks";"total_playgrounds";"total_preschools";"total_railstops";"total_recordingstudios";"total_seniorcenters";"total_skateparks";"total_sportfields";"total_subways";"total_tennisfields";"total_truckroutes";"total_visitedplaces";"total_wifihotspots"
"11203";"ZIP Codes";133;22;0;44;5;4;0;0;5;138;14;3;0;0;1;0;0;13;1;0;1;0;0;0;5;0;8;0;0;0;0;18;0;0;11;0;1;0;14;37;27;0;0;1;0;5;0;0;106;1;5
"11204";"ZIP Codes";16;8;0;18;2;3;0;0;2;74;10;0;0;0;0;0;0;9;0;0;1;1;0;0;2;0;1;0;1;0;0;14;0;0;7;0;0;0;8;20;17;0;0;1;0;0;12;0;21;1;5
"11205";"ZIP Codes";117;19;0;56;8;6;0;0;8;80;7;3;0;0;3;1;2;11;1;0;1;2;0;0;6;0;4;0;1;0;0;12;0;0;8;0;0;0;27;35;11;0;0;1;0;1;10;0;175;0;6
"11206";"ZIP Codes";108;25;0;92;12;3;0;0;12;131;21;4;2;0;2;0;0;20;1;0;1;1;0;0;12;0;11;0;0;0;0;8;0;0;7;0;0;1;62;42;25;0;0;4;0;0;32;0;145;0;9
"11210";"ZIP Codes";14;9;0;22;2;0;0;0;2;140;4;0;0;0;0;0;0;6;0;0;1;0;0;0;1;0;0;0;0;0;0;10;0;0;2;0;0;0;8;11;15;0;0;1;0;0;9;0;65;0;4
"11212";"ZIP Codes";9;39;0;100;9;7;0;0;9;149;21;1;2;0;1;0;0;20;3;0;1;0;0;0;11;0;7;0;2;0;0;22;0;0;17;0;0;0;66;48;23;0;0;3;0;1;14;0;126;0;5
"11213";"ZIP Codes";8;14;0;55;4;7;0;0;4;91;17;1;5;0;3;0;0;7;0;0;1;0;0;0;4;0;6;0;1;0;0;14;0;0;6;0;2;0;10;33;17;0;0;2;0;0;16;0;52;0;2
"11215";"ZIP Codes";129;4;0;28;1;6;0;0;1;103;32;0;1;0;45;7;0;9;1;1;3;2;0;0;1;4;5;1;1;1;1;24;0;0;7;0;2;5;31;29;14;0;0;2;1;0;32;0;256;1;12
"11216";"ZIP Codes";190;13;0;46;4;1;0;0;4;94;11;0;6;0;4;0;0;8;0;0;0;0;0;0;6;0;3;0;0;0;0;14;0;0;4;0;0;0;33;22;14;1;0;3;0;0;12;0;88;0;3
"11217";"ZIP Codes";123;9;0;27;4;5;0;0;4;72;18;0;0;0;24;9;0;5;2;3;1;5;0;0;4;0;3;0;1;0;0;22;0;1;5;0;1;0;17;18;7;1;0;2;1;0;35;1;114;0;10
"11218";"ZIP Codes";11;6;0;18;2;3;0;0;2;89;10;0;0;0;1;0;0;4;0;2;1;1;0;0;3;0;1;0;0;0;0;14;0;0;2;0;0;0;24;20;15;0;0;1;0;0;17;0;139;0;4
"11219";"ZIP Codes";13;10;0;5;2;0;0;0;2;73;6;0;1;0;1;0;0;6;0;1;1;0;0;0;0;0;2;0;1;0;0;14;0;0;4;0;0;0;10;13;16;0;0;4;0;0;26;0;10;0;2
"11221";"ZIP Codes";186;21;0;53;5;5;0;0;5;123;7;1;0;0;2;1;0;16;1;1;4;3;0;0;6;0;6;0;1;0;0;8;0;0;14;0;0;1;38;26;35;0;0;2;0;1;15;0;51;0;5
"11223";"ZIP Codes";152;9;0;36;3;0;0;0;3;99;6;0;0;0;0;0;0;8;0;0;0;1;0;0;3;0;2;0;0;0;0;16;0;0;3;0;0;0;22;21;15;0;0;4;0;0;24;1;106;0;5
"11225";"ZIP Codes";10;12;0;18;3;1;0;0;3;64;19;0;1;0;2;0;0;8;1;0;1;2;0;0;2;0;7;0;1;0;0;32;0;0;6;0;0;0;14;12;16;0;0;1;0;0;19;0;58;0;4
"11226";"ZIP Codes";12;7;0;37;1;0;0;0;1;99;12;0;0;0;1;0;0;5;1;1;1;0;0;0;0;0;5;0;2;0;0;28;0;0;4;0;0;2;8;19;17;0;0;3;0;4;26;1;93;0;5
"11228";"ZIP Codes";145;5;0;71;3;1;0;0;3;90;1;0;0;0;0;0;0;4;0;0;1;1;0;1;2;0;0;0;0;0;0;8;0;0;3;0;0;2;9;26;5;0;0;0;0;1;7;2;33;1;1
"11230";"ZIP Codes";15;6;0;18;2;0;0;0;2;98;6;0;0;0;1;0;0;5;0;0;1;1;0;0;2;0;0;0;0;0;0;26;0;0;1;0;0;0;8;20;17;0;0;2;0;0;26;1;26;0;1
"11233";"ZIP Codes";192;23;0;74;8;7;0;0;8;142;5;0;2;0;1;0;0;13;2;2;1;0;0;0;8;0;4;0;1;0;0;22;0;0;10;0;0;1;60;39;24;1;0;1;0;0;20;3;158;0;5
"11238";"ZIP Codes";124;12;0;14;2;5;0;0;2;110;42;0;5;0;3;1;0;7;1;0;0;1;1;0;3;0;3;0;0;0;0;16;0;0;5;0;1;1;32;20;11;0;0;1;0;0;31;0;57;1;12
